"start","end","text"
"61920","66020"," (Transcribed by TurboScribe. Go Unlimited to remove this message.) مرحبا بكم في محاضرتي وحرفية."
"66040","69620"," روز كتاب الصلاة كتاب شيخ نصرح شيخ صالح"
"69620","73880"," الفوزرح بظهو الله تعالى الملخص الفكي سنة معكم"
"73880","77040"," يوليخوا في هذا الكتاب ان دباب في عداب"
"77040","81520"," المشئ الى الصلاة ايوها المسلم انك بحاجة ماسة"
"81520","85440"," الى معرفة الى عداب المشروع الذي تسبق الصلاة"
"85440","90460"," استعداد الله ان الصلاة عبادة عظيمة ينبغي ان"
"90460","95200"," يسبقها استعداد وتهيوم مناسب يدخل المسلم في عد"
"95200","97740"," العبادة على احسن الهيئات."
"98200","101860"," ماذا مشيتق الى المسيب يتؤد الصلاة مع جماعة"
"101860","102680"," المسلمين. "
"103000","108440"," لكم ذلك بسكينة ووقار والسكينة هو يطنوانينه والتاني"
"108440","113980"," في المشي والوقاره الرجالة والحلو وغضل بصر وخفض"
"113980","115840"," الصوتي وكلة الاتفات."
"116340","118660"," وقد ورد في السيحين عن النبي صلى الله"
"118660","121640"," عليه وسلم قال اذا وقيمة الصلاة."
"121880","126200"," وفي لفظني اذا سمعت مليقاما فامشوا عليكم والسكينة. "
"126360","130960"," وما دركتوا فصلوا وما فاتكم فأتموا وروا الاما"
"130960","135760"," مسلم قال انا حدكم اذا كان يعمدوا الى"
"135760","137540"," الصلاة فاو في صلاة."
"137900","140940"," ولكن خرويك يوها المسلم الى المسلم وبكر ان"
"140940","145740"," يتدرك تكبيرة الى حرام وتحضر الصلاة مع الجماعة"
"145740","146560"," من اولها."
"147020","150760"," وقارب بين خطاك في مشيكة الى الصلاة يعني"
"150760","154100"," مشي مشيكة المعتاد لا تكلم في المشيب يعني"
"154100","159980"," تقاربها في شيء انتلاك مشيب ولا تباعد الخطاك"
"159980","161460"," وانما تبشي المعتاد. "
"162860","167380"," قارب بين خطاك في مشيكة الى الصلاة يتكثر"
"167380","171040"," عن سناتوك وبنسيحين عن النبي صلى الله عليه"
"171040","174800"," وسلم انه قال اذا تواضوا احدكم فأحسن الوضوع"
"174800","178220"," ثم خارجة الى مسيد لم يحتوخوة اتن الله"
"178220","181580"," رفعت له بها درجة بحطة عنه بها خطية."
"182140","185540"," فذا وسلتباب المسيد فقد امريك لك اليومنا عند"
"185540","189720"," الدخول وقل بسم الله اعوذ بالله العظيم وبمجه"
"189720","192740"," الكريم والسلطانه الكديم من الشيطان الرجيم."
"193240","194740"," الله مصلي على محمد. "
"195060","198180"," الله مفل يذنوبي وفتح لأبواب رحمته."
"198540","199660"," ويذارت الخرويك."
"199660","203460"," قد امريك لسرح وقل ادعاء الذي قلته عند"
"203460","204040"," الدخول. "
"204460","208080"," وتقول بدل وفتح لأبواب رحمته كأي عند الدخول"
"208080","211360"," تقول عند الخروي وفتح لأبواب فضلكة."
"211620","215740"," وذلك لان المسيد بحل الرحمته وخارج المسيد محل"
"215740","217760"," رزكه وفضر من الله."
"218500","222840"," فإذا دخلت المسيدى فلا تجلس حتى تصلي ركعتين"
"222840","223900"," تحية المسيد. "
"224140","225620"," يقوله صلى الله عليه وسلم."
"226080","229260"," اذا دخل احدكم المسيد فلا يجلس حتى يصلي"
"229260","229940"," ركعتين."
"230380","235080"," فما تجلس تنطظر الصلاة والتكن حالة واليكن والتكن"
"235080","238380"," حالة يلوسك في المسيد لانتظار الصلاة. "
"238720","244740"," مشتغل بذكر الله وتلاوة القرآن وتجنب العبث كتشبيك"
"244740","245980"," الأصابي وغيره."
"246420","249600"," قد ارد النهي عنه في حق منتظر الصلاة."
"249740","250960"," قال صلى الله عليه وسلم. "
"251760","253660"," اذا كان احدكم في المسيد."
"253920","277960"," فلا يشبك الناق."
"279300","281100"," فإن التشبيك من الشيطان. "
"281100","283000"," فريواخني اذا تبضى احدكم."
"283000","284660"," فا احسن لم."
"285000","288480"," شبك اصابعه في المسيد بعدما صلما من الصلاة. "
"288740","290240"," اتشبيك بعد الصلاة جايز."
"290440","293080"," او اتشبيك لغير من تظر الصلاة جايز."
"293820","298560"," وفي حالة انتظار الصلاة في المسيد لا تخض"
